,locality
763,HSR Layout
764,Others
765,JP Nagar
766,HSR Layout
767,Thippasandra
768,Thubarahalli
769,Adugodi
770,Others
771,Others
772,Srinivasapura
773,Marenahalli
774,Madiwala
775,HSR Layout
776,AGS Layout
777,Ramagondanahalli
778,Banashankari
779,Hombegowda Nagara
780,Hagadur
781,Bhuvaneshwari Nagar
782,Bellanduru
783,Ejipura
784,Katriguppe
785,Maruthi Seva Nagar
786,Bilekahalli
787,Cox Town
788,Suddagunte Palya Ward
789,Bellanduru
790,Madiwala
791,Kodihalli
792,Madiwala
793,Hagadur
794,Shakthi Ganapathi Nagar Ward
795,Hongasandra
796,Koramangala
797,Shanthala Nagar
798,Others
799,C V Raman Nagar
800,Domlur
801,Banashankari
802,JP Nagar
803,Vrisabhavathi Nagar
804,BTM Layout
805,Dodda Nekkundi
806,HAL Airport Ward
807,Lakkasandra
808,Rajarajeshwari Nagar
809,Bilekahalli
810,Shanthala Nagar
811,Kodihalli
812,Haralur
813,Vignananagar
814,Kaggadasapura
815,Others
816,Kadugodi
817,Haralur
818,Bellanduru
819,Jogupalya
820,Avalahalli
821,Basaveshwaranagar
822,Mahadevapura
823,Madiwala
824,Agaram
825,JP Nagar
826,BTM Layout
827,Deepanjali Nagar
828,Konena Agrahara Ward
829,Jayanagar
830,BTM Layout
831,Hoysala Nagara
832,Jeevanbhima Nagar
833,BTM Layout
834,Kumaraswamy Layout
835,HSR Layout
836,Lakkasandra
837,BTM Layout
838,Hongasandra
839,Rajarajeshwari Nagar
840,BTM Layout
841,Lakkasandra
842,Banashankari
843,Wilson Garden
844,Malleshpalya
845,Rajajinagar
846,Banashankari
847,HAL Airport Ward
848,BTM Layout
849,Yelchenahalli Ward
850,Basavanagudi
851,BCC Layout
852,Kadugodi
853,Adugodi
854,Rajarajeshwari Nagar
855,Banashankari
856,Hemmigepura
857,Others
858,JP Nagar
859,Suddagunte Palya Ward
860,Hosakerehalli
861,Banashankari
862,Hampi Nagar
863,Varthur
864,Jakkasandra
865,Koramangala
866,Hosa Tippasandra
867,Rajarajeshwari Nagar
868,Hemmigepura
869,Dodda Nekkundi
870,Madiwala
871,Kumaraswamy Layout
872,Deepanjali Nagar
873,Kaveri Layout
874,Madiwala
875,Shakthi Ganapathi Nagar Ward
876,Sarakki
877,Dodda Nekkundi
878,HSR Layout
879,Chikkalasandra
880,ISRO Layout
881,Sriramamandir Ward
882,Maruthi Mandir ward
883,Kamakshi Palya
884,Maruthi Mandir ward
885,BCC Layout
886,Varthur
887,Sarakki
888,Hoysala Nagara
889,Hosa Tippasandra
890,Rajarajeshwari Nagar
891,Pattabhiram Nagar
892,Hemmigepura
893,Chikkalasandra
894,Lal Bahadur Shastri Nagar
895,Hemmigepura
896,Maruthi Mandir ward
897,Madiwala
898,Sarakki
899,Haralur
900,Banashankari
901,Munekolala
902,Hosakerehalli
903,Kaggadasapura
904,Nayandahalli Ward
905,Marathahalli
906,Bellanduru
907,Hoysala Nagara
908,Kumaraswamy Layout
909,Basavanagudi
910,Garudachara Palya
911,Kumaraswamy Layout
912,Dodda Nekkundi
913,JP Nagar
914,Jayanagar
915,Koramangala
916,Others
917,Haralur
918,Jakkasandra
919,Vidyapeeta ward
920,Wilson Garden
921,Suddagunte Palya Ward
922,Deepanjali Nagar
923,Marathahalli
924,Hosa Tippasandra
925,Jayanagar
926,Gayatri Nagar
927,HSR Layout
928,Ramagondanahalli
929,Kaggadasapura
930,Prakash Nagar Ward
931,BTM Layout
932,Mangammanapalya
933,Munekolala
934,Varthur
935,Wilson Garden
936,Vishveshwara Puram
937,Kumaraswamy Layout
938,BTM Layout
939,Sampangiram Nagar Ward
940,Hosakerehalli
941,Others
942,Marenahalli
943,Dattatreya Temple Ward
944,Marenahalli
945,Basaveshwaranagar
946,Govindaraj Nagar
947,Bommanahalli
948,Wilson Garden
949,HSR Layout
